cluster,id,value
10,get,1674
10,help,4386
10,go,1621
10,work,2021
10,day,1235
10,know,1501
10,back,1112
10,us,1040
10,weeks,1097
1,cancer,1557
1,treatment,1393
1,breast,2051
1,diagnosed,748
1,fighting,611
1,family,2524
1,stage,322
1,chemotherapy,345
2,fire,163
2,home,1055
2,house,372
2,lost,358
2,flooded,80
2,everything,410
2,rebuild,59
2,clothes,71
4,kidney,1200
4,transplant,267
4,dialysis,69
4,donor,69
4,failure,75
3,que,445
3,la,423
3,para,241
5,car,2003
5,accident,265
5,broken,143
5,injury,225
5,recovery,492
5,road,268
6,surgery,1638
6,years,1852
6,tumor,464
6,eyes,185
6,insurance,737
6,cover,576
6,remove,382
7,years,1852
7,treatment,1393
7,life,1331
7,disease,396
7,dogs,189
7,cost,805
7,service,179
7,support,1202
7,time,2143
8,friend,1221
8,please,1119
8,love,1166
8,support,1202
8,expenses,954
9,hospital,1327
9,heart,758
9,liver,204
9,doctor,989
9,weeks,1097
9,bills,855