date,val
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,3
2009-12,1
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,1
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,1
2011-10,0
2011-11,0
2011-12,0
2012-01,1
2012-02,0
2012-03,0
2012-04,1
2012-05,1
2012-06,0
2012-07,1
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,1
2013-01,0
2013-02,1
2013-03,1
2013-04,2
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,3
2013-12,2
2014-01,3
2014-02,1
2014-03,2
2014-04,2
2014-05,1
2014-06,2
2014-07,2
2014-08,2
2014-09,4
2014-10,2
2014-11,3
2014-12,3
2015-01,3
2015-02,2
2015-03,2
2015-04,3
2015-05,2
2015-06,3
2015-07,2
2015-08,4
2015-09,5
2015-10,4
2015-11,3
2015-12,7
2016-01,7
2016-02,7
2016-03,14
2016-04,14
2016-05,20
2016-06,32
2016-07,17
2016-08,11
2016-09,12
2016-10,22
2016-11,25
2016-12,41
2017-01,34
2017-02,47
2017-03,28
2017-04,34
2017-05,48
2017-06,53
2017-07,45
2017-08,31
2017-09,42
2017-10,34
2017-11,31
2017-12,33
2018-01,35
2018-02,76
2018-03,57
2018-04,67
2018-05,43
2018-06,33
2018-07,71
2018-08,38
2018-09,32
2018-10,30
2018-11,35
2018-12,28
2019-01,32
2019-02,85
2019-03,100
2019-04,86